,"data[, 1]",default,Predicted_data,CreditLimit,Sex,Education,MaritalStatus,Age,RPStatusSep,RPStatusAug,RPStatusJuly,RPStatusJune,RPStatusApril,BILL_AMT_August,BILL_AMT_July,BILL_AMT_May,BILL_AMT_April,PAY_AMT_Sept,PAY_AMT_August,PAY_AMT_July,PAY_AMT_June,PAY_AMT_May,PAY_AMT_April,Predicted_data
9222,9222,1,0,220000,1,1,1,42,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9223,9223,1,0,50000,2,1,2,36,1,2,2,2,2,29244,30827,30587,32763,1000,2363,1200,0,2700,1157,0
9224,9224,0,0,310000,1,1,1,47,-2,-2,-2,-2,-2,1863,2667,2654,0,1869,2681,0,2654,0,2397,0
9225,9225,0,0,50000,1,2,2,50,0,0,0,0,0,13277,10834,10239,5741,1215,1087,297,309,220,100,0
9234,9234,0,1,140000,1,3,2,30,2,2,2,2,0,145339,136223,109652,109118,6005,210,7903,0,4183,4213,1
9242,9242,1,0,320000,1,1,1,37,-1,-1,-2,-2,-1,0,0,0,13439,0,0,0,0,13439,0,0
9246,9246,0,0,130000,2,2,2,33,0,0,-1,-1,-1,3773,4329,2279,-1,1011,4345,9261,2285,0,338,0
9250,9250,0,0,130000,1,2,2,29,0,0,0,-2,-2,43333,0,0,0,13333,0,0,0,0,0,0
9253,9253,1,0,170000,2,2,2,34,-1,-1,-1,-1,-1,2855,11744,12916,3177,2855,11900,5886,12916,3177,4511,0
9258,9258,0,0,210000,2,1,2,30,-1,-1,-1,-1,0,2881,1166,6813,2144,3033,1172,13940,0,0,0,0
9259,9259,0,0,20000,2,2,2,21,0,0,0,0,0,17850,13560,10632,10019,1499,1099,333,2000,2000,800,0
9262,9262,0,0,170000,2,1,2,34,0,0,0,0,0,49216,46239,29350,28164,2253,1888,1200,3782,1160,976,0
9267,9267,0,0,220000,1,1,1,39,0,0,0,0,0,27796,12372,3668,-809,2017,3000,1000,0,0,3000,0
9275,9275,0,0,50000,1,2,2,38,0,0,0,-2,-2,16426,0,0,0,1000,0,0,0,0,0,0
9279,9279,0,0,180000,1,2,1,33,0,0,-1,-1,0,107267,11426,144345,141659,20135,12099,96562,49000,140000,6000,0
9283,9283,0,0,280000,1,3,1,49,-1,-1,-1,-1,-1,3410,2295,582,14013,3410,2295,3105,582,14013,4240,0
9294,9294,0,0,180000,1,2,2,40,-1,-1,-1,-2,-2,1000,0,0,0,1000,0,0,0,0,10443,0
9297,9297,0,0,80000,1,2,1,36,0,0,0,0,0,26054,20344,6100,2160,3033,3379,0,0,0,0,0
9298,9298,0,0,140000,1,2,2,30,0,0,0,0,0,130023,76098,47202,43946,5006,2169,1651,2122,3006,2505,0
9303,9303,0,0,300000,1,1,2,41,-1,-1,-1,-1,-1,1610,0,0,1951,1610,0,800,0,1951,0,0
9304,9304,0,0,500000,1,2,2,32,-2,-2,-2,-2,-2,75357,62407,59452,47868,25487,80389,50132,22208,30167,25036,0
9312,9312,0,0,620000,2,1,2,52,-1,-1,-1,0,-1,32166,17206,75743,54737,32335,17244,154826,76300,55012,55136,0
9315,9315,1,0,170000,2,1,2,29,-1,-1,-1,0,0,337,11277,14277,-47,1147,11477,0,3000,0,0,0
9316,9316,0,0,250000,2,1,2,26,0,0,0,2,2,199972,205635,207919,205377,9500,10800,12018,3000,5000,12000,0
9320,9320,0,0,200000,1,1,1,39,0,0,0,0,0,79928,23532,12852,5799,20387,2023,5060,1549,3029,8419,0
9322,9322,0,0,500000,2,1,2,34,0,0,0,0,0,143348,159291,308074,400050,26000,20000,106700,50000,100000,200000,0
9327,9327,0,0,360000,1,1,2,30,0,0,0,0,0,29751,22581,7970,7970,1400,1000,1000,3000,0,0,0
9335,9335,1,0,30000,1,1,2,25,0,0,0,0,0,29806,30477,30107,26304,1800,1800,1300,1560,1000,1100,0
9336,9336,0,0,470000,1,1,2,30,0,0,0,0,0,294980,276255,223366,207733,15128,12235,10123,10019,10102,10000,0
9338,9338,1,0,70000,2,2,2,23,-1,0,0,0,0,19241,19346,15855,15011,1352,1237,545,726,353,99,0
9346,9346,0,0,300000,1,2,2,31,-1,-1,-1,-1,-1,78176,48163,5121,5663,78580,48408,13538,5145,5690,13535,0
9349,9349,0,0,200000,2,2,1,30,1,2,0,0,0,34064,30519,28097,29855,1500,2547,2500,2500,3500,2000,0
9351,9351,0,0,400000,2,2,1,34,-1,-1,0,-1,0,25772,12621,3378,3770,25772,1500,13983,3378,2000,9353,0
9352,9352,0,0,260000,2,1,2,30,-1,-1,-1,-2,-2,1340,0,0,0,1340,0,0,0,0,3250,0
9353,9353,0,0,10000,2,2,1,37,0,-1,0,0,0,7419,7392,8631,17974,7419,1400,1000,500,500,500,0
9355,9355,0,0,50000,1,3,2,43,0,0,0,0,0,49221,29457,888,19947,3711,1060,212,888,19709,690,0
9360,9360,0,0,500000,1,1,2,36,-1,-1,0,-1,-1,23032,54759,71797,93159,23128,40105,52221,71852,93218,179568,0
9361,9361,0,0,240000,1,2,1,33,-1,-1,-1,-1,-1,3470,2220,3356,2220,3470,2220,2220,3356,2220,3829,0
9369,9369,1,0,200000,2,1,1,55,0,0,0,0,0,111431,96867,81849,78046,3796,4262,2645,5834,2771,2945,0
9385,9385,0,0,10000,1,2,2,26,1,4,3,2,0,9240,8950,8840,9472,0,0,0,468,929,0,0
9392,9392,1,0,80000,1,2,2,25,-1,2,-1,0,0,416,832,832,416,0,832,0,832,0,416,0
9398,9398,0,0,20000,1,1,2,29,0,0,0,0,0,15759,17371,18073,10817,1500,2000,651,500,1000,500,0
9400,9400,1,0,100000,2,3,2,66,0,0,0,0,0,83398,85103,88912,90400,3035,3100,3100,3500,3500,7100,0
9409,9409,0,0,170000,1,1,2,34,1,2,2,2,0,22876,25674,25640,26278,0,3503,0,1078,1215,1000,0
9415,9415,0,0,350000,2,1,2,29,0,0,0,0,0,31386,24540,12900,7938,1740,1000,452,448,2000,8206,0
9419,9419,0,0,300000,1,1,2,32,1,2,2,-1,0,11293,12000,56338,56735,1200,1200,9427,55000,2000,2000,0
9424,9424,0,0,30000,2,1,2,25,-2,-2,-2,-2,-2,4476,8830,6422,500,7,7002,13,155,1,0,0
9431,9431,0,0,20000,1,3,2,24,1,-1,0,0,2,5536,18884,18163,16990,5536,14000,137,500,0,0,0
9433,9433,0,0,400000,2,1,1,32,-2,-2,-2,-2,-1,532,2651,644,636,587,2651,0,644,636,572,0
9437,9437,0,0,140000,2,1,2,28,0,0,0,0,0,117357,112527,94114,91201,5000,5000,3600,4000,4000,4000,0
9440,9440,1,0,230000,2,2,1,44,-1,-1,-1,-1,-1,390,5090,205,0,390,5090,19394,0,3916,3916,0
9441,9441,0,0,120000,2,2,1,37,-1,2,0,0,0,200,42200,42000,0,0,42000,200,0,0,0,0
9442,9442,0,0,210000,2,1,1,34,0,0,0,0,0,5832,7906,2069,0,1126,2400,200,205,0,0,0
9443,9443,0,0,80000,2,1,2,25,0,0,0,0,0,46723,41986,38124,37140,5000,2000,2000,2000,3000,2000,0
9445,9445,0,0,130000,2,2,1,53,0,0,0,0,0,119997,108738,62539,61906,5996,4148,2477,2346,2640,30000,0
9451,9451,0,0,500000,1,1,1,44,-1,-1,-1,-1,-1,62931,21296,4460,4195,63256,21408,19996,4482,4212,16748,0
9452,9452,1,1,50000,1,2,1,43,2,2,2,2,2,15105,16545,16563,17688,0,2000,1000,0,1400,0,1
9453,9453,0,0,200000,2,1,1,44,-1,-1,-1,-1,-1,4130,6952,1426,763,4150,6952,827,1426,763,870,0
9456,9456,0,0,130000,1,2,2,37,0,0,0,0,0,104341,96395,84205,84162,3857,3734,2924,3029,3009,3116,0
9457,9457,0,0,310000,2,1,1,35,-1,-1,0,0,0,62593,152141,109142,103020,62635,100042,4017,9184,4081,6042,0
9461,9461,1,0,70000,2,2,2,25,0,0,0,0,0,67555,25059,14112,28191,3000,2000,2400,2012,14500,3000,0
9464,9464,0,0,120000,1,2,2,35,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9466,9466,0,0,50000,2,2,1,34,0,0,2,0,0,10982,10243,11699,10146,3000,1000,1000,1000,2000,2000,0
9467,9467,0,0,350000,1,2,2,51,0,0,0,0,0,40859,45398,60540,65074,1859,5398,5634,10540,5096,2296,0
9473,9473,1,1,440000,2,2,2,25,2,2,0,0,0,220405,226731,237707,243555,0,10000,10000,10000,10000,10000,1
9476,9476,1,0,290000,1,1,2,29,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9479,9479,0,0,400000,2,1,1,35,-2,-2,-2,-2,-1,17883,9322,5588,10161,18057,9368,15771,5616,10173,10077,0
9483,9483,0,0,280000,2,1,1,47,0,0,0,0,0,270827,212405,161084,174622,20000,15000,0,161084,15000,20000,0
9492,9492,0,0,280000,2,3,1,51,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9493,9493,1,0,50000,1,3,1,38,1,5,4,3,0,50059,48988,47020,48027,0,0,0,0,1943,1727,0
9497,9497,0,0,200000,2,1,2,30,0,0,0,0,0,189104,183255,148088,99985,8990,7000,5500,6000,4220,3610,0
9498,9498,0,0,350000,1,1,2,34,0,0,0,0,0,109978,77151,79692,79949,7331,10000,5000,10000,5000,5000,0
9500,9500,0,0,150000,2,1,2,32,0,0,0,0,2,127467,130080,141612,140868,5000,4723,3323,11086,0,4000,0
9502,9502,0,0,330000,2,1,2,34,0,0,0,0,0,178833,187820,194964,199008,8000,12000,7000,8000,7287,7400,0
9505,9505,0,0,360000,1,1,2,29,1,-2,-1,-1,-1,-1808,6458,825,825,0,9091,825,825,825,825,0
9508,9508,0,0,280000,2,1,2,35,-1,2,2,-1,-1,199,-127,536,982,0,0,1548,0,982,601,0
9520,9520,0,0,20000,2,3,1,25,1,2,3,2,0,20438,19771,19364,18260,2000,0,1000,0,1000,0,0
9523,9523,0,0,230000,2,1,2,36,0,0,0,0,0,117858,121697,115730,111222,8000,6000,5000,5000,5000,5000,0
9525,9525,0,0,100000,1,2,1,52,0,0,0,0,0,22983,24290,25768,27407,2000,2000,1500,1093,2228,0,0
9526,9526,0,0,150000,2,1,2,26,-1,-1,-1,0,0,0,18600,1527,1527,0,18600,0,1527,0,0,0
9527,9527,0,0,320000,2,1,2,28,-1,-1,-2,-1,-2,1127,1943,-5,-5,1135,1952,13375,5,0,0,0
9530,9530,0,0,370000,2,2,2,39,0,0,0,0,0,180616,114073,23093,18436,10073,6367,5100,2000,3000,3000,0
9543,9543,0,0,140000,1,1,2,32,-1,-1,-2,-1,-1,0,0,561,528,0,0,61,500,528,498,0
9545,9545,0,0,230000,2,1,2,29,-1,-1,-1,-1,-1,466,3432,495,495,466,3461,495,495,495,0,0
9546,9546,0,0,200000,2,2,2,32,0,0,0,0,0,170905,186093,141208,144242,10000,20000,6000,5300,5500,4600,0
9548,9548,0,0,360000,2,1,2,30,-1,-1,0,0,-1,45913,80945,52342,33074,61137,79800,42015,53710,33074,119504,0
9554,9554,0,0,30000,2,2,1,52,0,0,2,0,0,30360,28002,4178,0,4110,94,1879,84,0,0,0
9555,9555,0,0,200000,2,3,1,48,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9557,9557,1,0,280000,1,2,2,29,0,0,0,2,0,259137,276794,276403,234607,9439,22000,10694,0,8475,9266,0
9564,9564,0,0,300000,2,2,1,33,-1,-1,-1,-1,-1,1496,1496,1996,1494,1500,1500,2494,1006,1498,2003,0
9569,9569,1,0,20000,1,2,2,25,0,0,0,0,0,19463,20998,36702,0,1465,4000,0,367,0,0,0
9574,9574,0,0,200000,1,1,1,34,-1,-1,-1,-1,2,1332,2003,4530,4245,1332,2003,816,4530,0,0,0
9587,9587,1,0,120000,1,1,2,29,0,0,0,0,0,98232,150952,79966,61248,3358,3400,6000,3200,4000,845,0
9588,9588,0,0,30000,1,2,2,36,-1,-1,2,-1,-1,3462,390,2150,780,3462,0,240,2300,780,0,0
9591,9591,0,0,20000,1,1,1,40,0,0,0,0,0,17896,17258,19496,18594,3500,1500,2000,800,800,700,0
9592,9592,0,0,50000,2,3,1,36,0,0,0,0,0,47579,47897,8548,8906,2014,1332,698,310,500,330,0
9598,9598,0,0,180000,2,2,1,41,0,0,0,0,0,141752,122164,113890,116823,6411,6000,5000,4500,5000,4200,0
9602,9602,0,0,140000,2,3,2,24,0,0,0,0,0,19713,19385,17185,36377,1633,1600,800,1753,20000,938,0
9608,9608,0,0,80000,2,1,1,35,-1,2,-1,-1,-1,82,3723,662,3295,0,3723,891,662,3295,1088,0
9611,9611,0,0,150000,1,3,2,31,-1,-1,-1,-1,-1,5897,2365,5531,3567,5914,2378,5019,5547,3576,5138,0
9613,9613,0,0,400000,1,1,1,44,0,0,0,0,0,24198,22584,23417,16845,6838,2159,1000,3000,1008,1000,0
9614,9614,1,1,120000,1,1,1,34,2,2,2,2,2,99018,100493,104159,102324,4000,4000,4000,4000,0,8000,1
9615,9615,0,0,330000,1,1,2,39,0,0,0,0,0,346014,334826,264516,264079,12350,12780,9400,20000,9610,10200,0
9616,9616,0,0,30000,1,2,2,29,-1,-1,-1,-1,-1,390,390,719,1588,390,390,1438,0,1588,0,0
9617,9617,0,1,100000,1,3,1,55,2,-1,-1,-1,-1,435,285,-585,1020,435,285,0,0,2040,0,1
9620,9620,1,0,310000,1,1,2,37,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9621,9621,0,0,160000,2,3,1,49,-2,-2,-1,-1,-2,6339,3334,6959,5404,6339,3338,3090,6971,5410,1816,0
9622,9622,0,0,110000,2,1,2,25,-2,-2,-2,-2,-2,83894,85037,24512,25447,0,4000,2100,2000,1500,1500,0
9624,9624,0,0,30000,2,3,2,23,-1,-1,-1,-1,-1,913,10773,3091,700,913,10773,916,3091,700,0,0
9627,9627,0,0,220000,2,1,2,36,-1,-1,-1,-1,-1,921,943,25075,6862,923,945,1471,25150,6882,7715,0
9628,9628,0,0,460000,1,1,2,36,-1,-1,-1,0,0,13749,32838,3129,5945,13766,32871,21000,165,3551,28979,0
9630,9630,0,0,50000,2,3,1,53,0,0,0,0,-2,48672,34694,2025,0,36396,1662,1471,2125,0,0,0
9631,9631,0,1,100000,2,1,1,32,2,0,0,0,2,97995,98781,101885,98015,4620,4700,3900,7900,0,7700,1
9633,9633,1,1,50000,1,3,1,41,4,3,2,0,-1,51847,50307,28479,28979,0,0,0,974,31100,1200,1
9635,9635,0,0,240000,2,1,2,34,-1,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9639,9639,0,0,70000,2,3,2,25,0,0,0,0,0,68618,61208,49207,50524,4500,2783,25000,0,3000,6000,0
9640,9640,0,0,260000,1,1,2,29,0,0,0,0,0,100939,92549,88772,111287,17000,6000,5000,6500,25000,4000,0
9643,9643,0,0,200000,2,3,2,51,0,0,0,0,0,180428,131111,107300,101918,7657,4814,3921,4000,4365,11000,0
9644,9644,0,0,50000,1,1,2,57,0,0,0,0,0,50709,49814,20306,20306,1814,1816,2201,716,721,693,0
9646,9646,0,0,360000,1,1,2,27,-1,-1,-1,-1,0,5695,1390,8531,-33,5702,1395,8531,0,0,0,0
9649,9649,0,0,500000,2,2,2,32,0,0,0,0,0,37890,28527,27454,30486,7000,7000,8000,10000,12000,2876,0
9657,9657,0,0,230000,2,3,1,58,1,-2,-1,-1,0,0,3000,29387,22980,0,3000,1800,29387,1200,2525,0
9658,9658,0,0,80000,1,1,1,46,0,0,0,0,0,40176,39681,25356,22723,2000,2490,1522,1100,960,988,0
9671,9671,0,0,160000,1,1,2,27,1,-2,-2,-1,-1,-2790,-4650,930,2010,0,0,5580,930,2010,0,0
9673,9673,0,0,430000,2,1,2,29,0,0,0,0,0,53400,52214,32848,28557,3261,3051,1199,2000,2000,140908,0
9677,9677,0,1,60000,1,2,2,29,2,2,2,2,2,48574,49476,50509,52522,2000,2000,2000,1100,3000,0,1
9681,9681,0,1,200000,2,2,2,37,2,0,0,0,0,210315,206563,173111,170326,8000,9000,8000,7000,7200,10500,1
9684,9684,0,0,440000,1,2,2,29,0,0,0,0,0,436979,329814,287809,293176,18887,12076,10042,11005,11069,9006,0
9685,9685,1,1,280000,1,2,2,38,2,2,2,0,0,170775,166749,166757,161777,6000,5,5858,5741,5608,5712,1
9688,9688,0,0,210000,2,2,2,38,0,0,0,0,0,185907,180618,189134,194966,8000,10000,8000,8000,9000,8000,0
9695,9695,1,1,20000,1,3,2,23,2,2,2,2,2,17676,17100,18525,18080,3200,0,2600,0,0,1700,1
9703,9703,0,0,80000,2,2,1,35,0,0,0,0,0,10390,10816,9798,10401,1206,1131,322,490,1402,201,0
9704,9704,0,0,10000,2,1,2,29,-1,-1,-1,-1,-1,1508,3096,4522,-240,1508,3098,3400,4522,0,1000,0
9707,9707,1,1,100000,2,3,1,46,2,2,2,2,0,45983,46927,46865,47930,4000,2000,1900,0,2000,4000,1
9711,9711,0,0,150000,2,1,1,58,-1,-1,-1,-1,-1,2277,4049,559,0,2277,4066,1665,559,0,663,0
9714,9714,0,0,360000,2,2,1,29,1,-1,2,-1,-1,828,414,414,414,1244,2,416,416,416,600,0
9715,9715,0,1,10000,2,1,2,24,2,0,0,2,2,7559,9564,9862,10050,1300,2300,0,900,500,0,1
9717,9717,0,0,370000,1,2,2,28,0,0,0,0,0,265512,269491,226566,226817,10001,10000,10000,8207,7641,7521,0
9722,9722,1,0,70000,1,2,2,26,0,0,0,-1,0,68284,67375,71157,71008,3517,3700,71270,3000,3000,3000,0
9723,9723,0,0,360000,2,1,2,34,-1,-1,-1,-1,-1,6378,26648,3450,0,6411,26987,6740,3467,0,239400,0
9736,9736,0,0,60000,1,2,1,32,0,0,0,0,2,25870,26964,30329,24104,1505,1599,900,4500,0,1000,0
9737,9737,0,0,110000,2,1,2,29,0,0,0,0,0,67961,68306,48728,18574,3000,2000,2049,2000,1000,1000,0
9741,9741,0,0,50000,1,2,2,33,0,0,0,0,0,50461,50994,30242,30193,2479,2412,1162,1199,1223,1199,0
9742,9742,0,0,60000,1,2,1,42,0,0,0,0,0,48310,41746,26199,28200,2000,2000,1000,1501,3000,1500,0
9743,9743,0,0,150000,1,2,2,27,0,0,0,0,-1,39494,33616,10656,30168,38018,1203,41,2587,31382,11027,0
9747,9747,0,0,160000,2,2,2,52,0,0,0,0,0,40757,42769,46269,48036,3000,2700,2700,2700,2700,2700,0
9751,9751,0,0,170000,1,1,2,30,0,0,0,0,0,119463,123476,127918,130782,4337,6000,5000,5000,5000,4898,0
9752,9752,0,0,240000,2,1,2,32,-1,-1,-1,-1,-1,9420,16278,10242,19098,9420,16290,8998,10421,19098,6697,0
9756,9756,0,1,140000,1,1,1,31,2,0,0,2,2,52112,55232,54910,57344,2500,4600,2200,0,3513,3000,1
9759,9759,0,0,160000,2,1,2,28,0,0,0,0,0,158903,150548,155476,165902,7900,7000,5600,5900,13200,0,0
9768,9768,0,0,150000,1,3,1,50,0,0,0,0,0,91812,92411,96328,74550,4161,2971,3151,3200,3990,0,0
9775,9775,0,0,150000,2,1,1,36,-2,-2,-2,-2,-2,14528,11317,12030,10738,14528,11322,14042,12030,10738,322,0
9783,9783,0,0,240000,2,2,1,42,-1,-1,-1,-1,-1,0,316,0,316,0,316,632,0,316,948,0
9786,9786,1,0,80000,2,2,2,25,1,2,0,0,0,30259,31712,29822,30966,0,2000,2444,0,3000,1000,0
9789,9789,0,1,290000,1,2,1,36,2,-1,-1,0,-1,326,652,326,11757,330,652,0,326,11757,550,1
9791,9791,0,0,60000,1,2,2,23,0,0,2,2,0,7730,12944,12606,6540,3258,0,0,28000,2000,50,0
9797,9797,0,0,20000,1,3,2,40,0,0,0,0,0,17715,18841,11583,11859,1500,1500,1000,1000,1000,1000,0
9799,9799,1,0,20000,2,1,2,23,1,2,0,0,0,3408,4016,1814,2232,0,1000,100,1814,1000,0,0
9800,9800,1,0,120000,2,2,2,23,0,0,-1,0,-1,3077,700,632,8815,1000,1200,200,632,8815,8400,0
9805,9805,0,0,150000,1,2,2,32,0,0,0,0,0,84560,35726,32415,39531,7000,3000,3000,5000,8000,2000,0
9808,9808,0,0,70000,1,1,2,31,0,0,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9809,9809,0,0,230000,2,1,2,32,-1,0,-1,-1,-1,28641,713,3786,6571,28200,720,1344,4674,6571,1814,0
9814,9814,0,0,100000,2,3,1,53,0,0,0,0,0,37785,32905,30503,28518,1607,1385,971,1018,984,810,0
9818,9818,0,0,180000,2,1,1,28,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9822,9822,0,0,20000,2,2,1,23,1,2,2,2,3,8700,9907,14422,18885,1000,1500,0,5000,5000,900,0
9827,9827,1,0,280000,2,1,2,28,1,-1,-1,0,-1,5072,4872,4322,9887,5072,4900,0,4322,9887,49300,0
9834,9834,0,0,30000,2,3,1,41,-2,-2,-2,-2,-2,18393,7501,14333,0,18393,7501,11216,14387,0,0,0
9836,9836,0,0,80000,2,1,2,32,0,0,0,0,2,62445,63905,68811,70526,2500,2500,5100,2100,3000,3000,0
9839,9839,1,1,150000,2,2,1,29,2,2,2,2,2,103662,103978,106437,109108,6800,3500,4500,3000,4600,2500,1
9852,9852,1,0,100000,1,2,1,52,0,0,0,0,0,21178,101565,81201,77928,2211,81565,2625,3931,2900,2800,0
9853,9853,0,0,20000,2,2,2,25,0,0,0,0,0,17330,18560,17972,15352,2000,2000,1000,6000,1000,3000,0
9856,9856,1,0,170000,1,1,1,44,1,2,0,0,0,78724,68387,33939,34330,2000,2000,3057,2000,5000,2000,0
9857,9857,1,1,20000,2,1,2,28,2,0,-1,0,0,19726,8564,19878,19898,2000,8568,19000,800,1000,20000,1
9865,9865,0,0,60000,2,1,2,25,0,0,0,0,0,32634,30312,23484,24438,2000,2000,1000,1005,1500,2000,0
9867,9867,0,0,130000,2,3,1,44,-1,2,2,-1,-1,316,0,316,316,0,0,948,0,316,316,0
9878,9878,0,0,320000,1,1,2,35,0,0,0,0,0,177809,155421,170930,171359,15000,34000,12000,5000,81000,4100,0
9881,9881,1,1,180000,1,1,2,23,2,2,2,2,2,158088,166492,172662,172027,5000,12552,6200,7000,2304,6180,1
9882,9882,0,0,470000,1,2,2,29,0,0,0,0,0,47091,34901,34188,35444,3106,5017,3007,2001,2093,10076,0
9885,9885,0,0,210000,2,1,2,26,-1,-1,-1,-2,-1,1608,0,312,0,1624,0,0,312,0,0,0
9891,9891,0,0,50000,1,1,2,42,-1,-1,0,0,0,19660,14659,14195,14471,22660,1300,519,518,515,528,0
9894,9894,0,0,90000,1,1,1,53,0,0,0,0,0,23607,22132,19412,18099,2400,1582,770,1696,820,520,0
9904,9904,0,0,200000,1,2,2,36,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9905,9905,1,0,30000,2,3,2,38,0,0,0,0,0,28820,28538,29326,29508,3700,718,1500,1500,3000,12357,0
9908,9908,0,0,200000,2,2,1,42,-1,-1,-1,-1,-1,0,2521,2255,3021,0,2521,6935,2255,3021,0,0
9916,9916,0,0,20000,2,1,2,24,-1,-1,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
9921,9921,0,0,200000,1,3,2,34,1,2,2,3,2,142121,193777,192304,188695,7001,56100,5,7269,28,5828,0
9932,9932,0,0,220000,2,1,2,32,-2,-2,-2,-2,-2,27844,33260,15687,9148,28567,34393,9203,15765,9194,11317,0
9936,9936,0,0,50000,1,3,1,38,0,0,0,0,0,11377,10760,10693,9888,1500,1155,368,372,356,500,0
9937,9937,0,0,50000,1,3,1,48,0,0,0,0,0,8451,9641,9294,9263,1310,1500,500,500,500,200,0
9941,9941,1,0,160000,1,1,1,51,0,0,0,2,2,1481,2623,4912,3669,1331,2473,0,2500,0,0,0
9943,9943,0,0,10000,2,2,1,40,1,-1,0,0,0,1912,3071,9882,5857,1912,1200,1000,1000,1000,0,0
9951,9951,0,0,50000,2,1,2,28,1,2,0,0,3,3851,2808,3989,3610,0,602,569,718,0,0,0
9957,9957,0,0,320000,1,1,1,46,-2,-2,-2,-1,-2,12186,1403,7463,1957,12253,3290,11465,7537,1966,2987,0
9958,9958,1,1,30000,2,2,1,33,2,0,0,2,0,31564,34804,31740,31135,1872,5550,1238,0,1515,4665,1
9961,9961,0,0,140000,2,2,2,27,0,0,0,0,0,139889,142460,139879,140810,5200,6000,5500,5900,5200,5000,0
9964,9964,0,0,420000,2,1,2,29,0,0,0,0,0,97913,75353,77048,23007,23004,20002,7096,20261,3068,10009,0
9966,9966,0,0,140000,2,1,2,25,0,0,0,0,0,44158,48437,52888,54060,5000,5000,3000,3000,2000,2000,0
9969,9969,0,0,50000,2,1,2,26,1,-2,-2,-1,0,0,0,7361,6957,0,0,6954,500,1000,500,0
9973,9973,1,0,300000,2,1,2,39,-1,-1,-2,-2,-2,-1,-1,-1,-1,1,0,0,0,0,2774,0
9991,9991,0,0,330000,2,2,1,45,0,0,0,0,0,48906,50531,40491,31020,2000,2500,1309,1243,2027,1056,0
9996,9996,0,0,140000,2,1,2,31,1,-2,-2,-2,-2,241,0,0,0,241,0,0,0,0,1419,0
9997,9997,0,0,80000,2,2,2,37,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
10000,10000,0,0,230000,1,2,1,36,0,0,0,0,0,20715,19750,19255,17479,3000,3000,3000,3000,3000,3000,0
10002,10002,0,0,50000,2,2,2,28,-1,-1,-1,-1,-1,0,390,885,885,0,390,390,885,885,885,0
10005,10005,0,0,200000,2,3,2,45,1,-2,-2,-2,0,1928,-15,4717,1230,1937,0,1768,6137,0,27,0
10013,10013,0,0,40000,2,1,2,35,0,0,0,0,0,36208,25378,31145,38030,10000,5000,5000,5000,7500,4596,0
10014,10014,0,0,30000,1,3,2,58,-1,-1,-1,0,0,390,1170,780,0,390,1170,0,0,0,0,0
10017,10017,0,0,150000,2,2,2,37,0,0,0,0,0,152359,150257,79617,79670,7000,7000,5000,3000,4000,3500,0
10023,10023,0,0,210000,2,2,1,41,-1,-1,-1,-1,-2,2032,106,-10,-10,2164,106,0,0,0,0,0
10026,10026,1,0,50000,2,2,2,24,0,0,0,0,0,47819,48527,38314,37758,2200,1889,1510,1400,1700,2000,0
10030,10030,0,0,340000,2,1,2,30,-1,-1,-1,-1,-1,21012,10607,35675,20691,21041,10607,47258,983,20691,23849,0
10031,10031,0,0,310000,2,1,2,32,-2,-2,-2,-2,-2,20784,5649,5122,380,27778,5649,9141,5122,380,2475,0
10033,10033,1,0,200000,1,2,2,27,-1,-1,-1,-1,-1,2035,1577,671,1606,2035,1577,2424,671,1606,27124,0
10038,10038,0,0,390000,2,3,2,30,0,0,0,0,0,256104,221739,175781,173442,8738,6545,6601,5700,6100,5000,0
10044,10044,0,0,50000,1,2,1,50,0,0,0,0,0,7314,8474,8665,8843,1129,1289,303,313,321,472,0
10052,10052,0,0,70000,2,3,2,24,0,0,0,0,0,67513,67767,1058,48376,3136,2076,2243,1058,48000,2000,0
10053,10053,0,0,70000,1,1,2,26,0,0,0,0,0,61865,63063,11127,13004,2735,2726,311,343,3000,2000,0
10056,10056,0,0,240000,2,1,2,35,0,0,0,0,0,19648,11138,18265,4365,5118,5015,5000,10000,2000,5326,0
10060,10060,0,0,80000,1,2,2,26,0,0,0,-2,-2,61650,0,0,0,2850,0,0,0,0,0,0
10062,10062,0,0,50000,2,3,1,61,0,0,0,2,0,35961,37417,24655,26088,2220,2943,0,887,2000,716,0
10071,10071,0,0,360000,2,1,1,56,0,-1,-1,-2,-1,7690,0,0,6232,7690,0,0,0,6232,158,0
10073,10073,0,0,360000,1,1,2,33,-1,-1,-1,-1,-1,-4,831,1172,820,0,835,899,1172,820,670,0
